name,description,type,maxTakeoffWeight,maxFlightTime,manufacturer,releaseYear,maxRange,payloadCapacity,sensorType,ipRating
Альбатрос Одиссей,"беспилотник самолетного типа для сверхдлинных маршрутов. Применяется для ортофотопланов крупных инфраструктурных объектов и мониторинга нефтепроводов на протяжении сотен километров",fixed-wing,7.0,240,Unmanned Russia,2021,200.0,5.0,RGB,IP54
Аист-Т,легкий складной квадрокоптер для оперативных инспекций. Используется строительными технадзорами и кадастровыми инженерами для экспресс-обмера участков,multirotor,0.9,25,Aist-T,2019,5.0,1.0,"RGB,Thermal",IP54
Легионер,"гражданский конвертоплан (VTOL) с вертикальным взлетом. Создан для доставки медикаментов и экспресс-посылок в труднодоступные населенные пункты Сибири и Дальнего Востока",hybrid,10.0,70,Legioner,2020,40.0,10.0,RGB,IP54
Supercam S350-F,"модификация популярного крыла, адаптированная под мультиспектральные камеры. Позволяет оценивать индекс здоровья вегетации (NDVI) на фермерских угодьях",fixed-wing,3.8,110,Supercam,2016,100.0,1.0,Multispectral,IP54
Т1 Аэро,"тяжелый гражданский мультикоптер для доставки грузов массой до 150 кг в труднодоступные районы. Используется для снабжения отдаленных буровых платформ и объектов нефтегазового сектора",multirotor,180.0,35,T1 Aero,2022,10.0,100.0,"RGB,Thermal",IP54
Агримакс А30,"отечественный сельскохозяйственный гексакоптер, серийно выпускаемый для обработки полей, точечного внесения пестицидов и жидких удобрений по картам вегетации",multirotor,45.0,20,Agrimax,2021,5.0,20.0,Multispectral,IP67
КБ Партизан,"тяжелый беспилотный самолет сверхкороткого взлета и посадки (ему достаточно площадки 50х50 метров). Предназначен для пассажирских и грузовых перевозок на местных воздушных линиях в Сибири",fixed-wing,100.0,200,SibNIA,2020,300.0,500.0,"RGB,Thermal",IP54
Тахион,"легкий дрон самолетного типа для аэрофотосъемки, оперативного контроля линий связи, мониторинга лесных массивов и экологического надзора",fixed-wing,3.0,90,Takhion,2019,60.0,2.0,RGB,IP54
ЮВЛ Роботикс Термит,"беспилотный вертолет с возможностью автоматической замены аккумуляторов на специальных станциях (дронопортах). Применяется для регулярного автоматического патрулирования крупных промышленных зон",helicopter,4.0,30,YuVL Robotics,2021,10.0,2.0,"RGB,Thermal",IP54
ИРТ-50,"беспилотник самолетного типа с ДВС (двигателем внутреннего сгорания), обеспечивающий продолжительность полета до 10 часов. Используется для непрерывного лесопатологического мониторинга и контроля трубопроводов",fixed-wing,6.5,600,IRT-50,2018,150.0,5.0,"RGB,Thermal",IP54
Птеро-G0,"беспилотник самолетного типа с бензиновым двигателем. Предназначен для площадной и линейной аэрофотосъемки высокого разрешения, тепловизионного контроля и многоспектрального мониторинга протяженностью до нескольких сотен километров",fixed-wing,7.5,300,Ptero,2017,100.0,3.0,RGB,IP54
Гаусс-Гео,"специализированный картографический мультикоптер. Поставляется в комплекте с геодезическими GNSS-приемниками для выполнения высокоточных кадастровых работ и маркшейдерии",multirotor,2.5,35,Gauss-Geo,2020,10.0,2.0,"RGB,LiDAR",IP54
Нео-В6,"экспериментальный и коммерческий гексакоптер. Особенностью является возможность работы на водородных топливных элементах, что кратно увеличивает время нахождения в воздухе по сравнению с литий-полимерными батареями",multirotor,3.0,90,Neo-V6,2022,5.0,1.0,"RGB,Thermal",IP54
Зеница,"тяжелый гражданский научно-исследовательский БПЛА. Используется для высотного зондирования атмосферы, климатических исследований и сбора метеорологических данных над акваториями северных морей",fixed-wing,200.0,180,Zenitsa,2021,200.0,50.0,"RGB,Thermal,Radar",IP54
ООО Дронопорт,"роботизированная система, включающая в себя защищенную наземную станцию базирования (дронопорт) и квадрокоптер. Система полностью автономно осуществляет вылет по расписанию, патрулирует территорию и передает данные по LTE/спутнику",multirotor,1.5,25,Droneport,2022,5.0,1.0,"RGB,Thermal",IP67
Аэромакс АС-МК-6,"компактный мультикоптер гражданского назначения. Применяется для мониторинга городской инфраструктуры, а также локального тепловизионного контроля теплосетей и ЛЭП",multirotor,1.0,20,Aeromax,2019,5.0,1.0,"RGB,Thermal",IP54
Аэромакс H-750,"тяжелый беспилотный вертолет. Проходит испытания для перевозки крупногабаритных грузов в условиях Крайнего Севера на дальние расстояния",helicopter,120.0,45,Aeromax,2021,30.0,100.0,"RGB,Thermal",IP54
Wheelies,"специализированный мультикоптер-инспектор. Главная особенность заключается в способности стабильно удерживать позицию на высоте до 200 метров без использования спутниковой навигации",multirotor,2.0,30,Wheelies,2020,5.0,2.0,RGB,IP54
Тулпар БАС,"беспилотные платформы вертолетного типа. Используются для оперативной доставки биологических материалов между удаленными больницами в труднодоступных регионах",helicopter,25.0,40,Tulpar,2018,20.0,15.0,"RGB,Thermal",IP54
Геоскан Пионер Мини 2,"обновленная версия учебно-методического квадрокоптера, успешно прошедшая строгую сертификацию и внесенная в реестр Минпромторга под требования высокого уровня локализации",multirotor,0.35,18,Geoscan,2020,2.0,0.2,RGB,IP43
Платформы ледовой разведки,"беспилотники самолетного типа с увеличенным размахом крыла. Используются в бассейнах рек Сибири во время весеннего паводка для обнаружения ледовых заторов",fixed-wing,8.5,200,Ice Recon,2021,150.0,10.0,"Thermal,Radar",IP67
